iter	Passed	Remaining
0	0	83
1	1	72
2	1	58
3	2	49
4	2	45
5	2	42
6	3	40
7	3	38
8	3	37
9	4	36
10	4	35
11	4	34
12	5	33
13	5	32
14	5	32
15	6	31
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	27
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	24
31	11	23
32	15	31
33	15	30
34	16	30
35	16	29
36	16	28
37	17	28
38	17	27
39	17	26
40	18	26
41	18	26
42	19	26
43	20	25
44	21	25
45	22	25
46	22	25
47	23	25
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	28	24
54	28	23
55	29	23
56	30	23
57	31	23
58	32	22
59	32	21
60	32	20
61	33	20
62	33	19
63	33	19
64	34	18
65	34	17
66	34	17
67	35	16
68	35	15
69	36	15
70	36	14
71	36	14
72	37	13
73	37	13
74	37	12
75	38	12
76	38	11
77	38	10
78	39	10
79	39	9
80	39	9
81	40	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	42	5
89	43	4
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
