iter	Passed	Remaining
0	107	107130
1	107	53882
2	108	36086
3	109	27155
4	109	21804
5	110	18235
6	110	15679
7	110	13756
8	111	12261
9	111	11079
10	112	10103
11	112	9289
12	113	8604
13	113	8012
14	114	7500
15	114	7049
16	115	6654
17	115	6303
18	115	5988
19	116	5704
20	116	5446
21	117	5213
22	117	5000
23	118	4805
24	118	4625
25	119	4459
26	119	4308
27	119	4164
28	120	4033
29	120	3910
30	121	3795
31	121	3686
32	122	3585
33	122	3489
34	123	3400
35	123	3314
36	124	3234
37	124	3159
38	125	3086
39	125	3016
40	126	2949
41	126	2886
42	126	2825
43	127	2766
44	127	2710
45	128	2655
46	128	2602
47	128	2552
48	129	2506
49	129	2461
50	129	2416
51	130	2379
52	130	2340
53	131	2302
54	131	2267
55	132	2231
56	132	2199
57	133	2167
58	133	2135
59	134	2105
60	134	2075
61	135	2050
62	136	2025
63	136	2000
64	137	1975
65	137	1952
66	138	1928
67	139	1905
68	139	1882
69	140	1860
70	140	1838
71	141	1818
72	141	1797
73	142	1777
74	142	1757
75	143	1738
76	143	1720
77	143	1702
78	144	1684
79	145	1668
80	145	1650
81	146	1640
82	146	1622
83	147	1606
84	147	1590
85	148	1575
86	148	1560
87	149	1545
88	149	1532
89	150	1518
90	150	1504
91	151	1490
92	151	1477
93	226	2179
94	226	2159
95	227	2139
96	227	2119
97	228	2099
98	228	2080
99	229	2061
100	229	2042
101	229	2024
102	230	2005
103	230	1988
104	231	1972
105	231	1954
106	232	1938
107	232	1922
108	233	1906
109	233	1890
110	234	1874
111	234	1859
112	234	1844
113	235	1828
114	235	1813
115	236	1799
116	236	1784
117	236	1770
118	237	1756
119	237	1742
120	238	1728
121	238	1715
122	238	1702
123	239	1689
124	239	1676
125	239	1664
126	240	1651
127	240	1640
128	241	1629
129	241	1617
130	242	1606
131	242	1595
132	243	1584
133	243	1573
134	243	1562
135	244	1552
136	244	1542
137	245	1532
138	245	1522
139	246	1512
140	246	1502
141	246	1491
142	247	1481
143	247	1471
144	247	1462
145	248	1452
146	248	1442
147	248	1433
148	249	1423
149	249	1414
150	249	1405
151	322	1798
152	322	1787
153	323	1776
154	324	1766
155	324	1756
156	325	1745
157	325	1734
158	325	1723
159	326	1713
160	326	1701
161	327	1691
162	327	1681
163	327	1671
164	328	1661
165	328	1652
166	329	1642
167	329	1632
168	330	1623
169	330	1614
170	331	1605
171	331	1596
172	332	1587
173	332	1578
174	333	1570
175	333	1561
176	333	1552
177	334	1544
178	334	1535
179	335	1527
180	335	1518
181	336	1510
182	336	1502
183	337	1494
184	337	1486
185	337	1478
186	338	1470
187	338	1463
188	339	1455
189	339	1447
190	339	1440
191	340	1432
192	340	1425
193	341	1417
194	341	1410
195	342	1403
196	342	1395
197	342	1388
198	343	1380
199	343	1373
200	343	1366
201	343	1358
202	344	1351
203	344	1344
204	344	1337
205	345	1330
206	345	1323
207	345	1317
208	346	1310
209	418	1575
210	419	1567
211	419	1560
212	420	1552
213	420	1545
214	421	1538
215	421	1530
216	422	1523
217	422	1515
218	422	1508
219	423	1501
220	423	1493
221	424	1486
222	424	1479
223	425	1472
224	425	1465
225	426	1459
226	426	1452
227	426	1445
228	427	1438
229	427	1432
230	428	1425
231	428	1418
232	429	1412
233	429	1405
234	429	1399
235	430	1393
236	430	1386
237	431	1379
238	431	1373
239	431	1367
240	432	1361
241	432	1355
242	433	1349
243	433	1343
244	433	1337
245	434	1331
246	434	1325
247	435	1319
248	435	1313
249	435	1307
250	436	1302
251	436	1296
252	437	1290
253	437	1284
254	437	1279
255	438	1273
256	438	1268
257	439	1262
258	439	1257
259	439	1251
260	440	1246
261	440	1240
262	440	1235
263	441	1229
264	441	1224
265	441	1218
266	442	1213
267	442	1208
268	514	1398
269	515	1393
270	516	1388
271	516	1382
272	516	1376
273	517	1370
274	517	1364
275	518	1359
276	518	1353
277	519	1348
278	519	1342
279	520	1337
280	520	1331
281	520	1326
282	521	1320
283	521	1315
284	522	1310
285	522	1304
286	523	1299
287	523	1294
288	524	1289
289	524	1284
290	525	1279
291	525	1274
292	525	1269
293	526	1264
294	526	1259
295	527	1255
296	528	1250
297	528	1245
298	529	1240
299	529	1235
300	530	1231
301	530	1226
302	531	1222
303	531	1217
304	532	1212
305	532	1208
306	533	1203
307	533	1199
308	534	1194
309	534	1190
310	535	1185
311	535	1180
312	535	1175
313	536	1171
314	536	1166
315	536	1161
316	537	1157
317	537	1152
318	537	1147
319	537	1143
320	538	1138
321	538	1134
322	611	1281
323	611	1276
324	612	1271
325	612	1266
326	613	1261
327	613	1256
328	613	1252
329	614	1247
330	614	1242
331	615	1237
332	615	1233
333	615	1228
334	616	1223
335	616	1218
336	617	1214
337	617	1209
338	617	1204
339	618	1200
340	618	1195
341	619	1191
342	619	1186
343	619	1182
344	620	1177
345	620	1173
346	621	1169
347	621	1164
348	622	1160
349	622	1156
350	622	1151
351	623	1147
352	623	1143
353	624	1139
354	624	1135
355	625	1130
356	625	1126
357	626	1122
358	626	1118
359	626	1114
360	627	1110
361	627	1106
362	628	1102
363	628	1098
364	629	1094
365	629	1090
366	629	1086
367	630	1082
368	630	1078
369	631	1074
370	631	1070
371	631	1066
372	632	1062
373	632	1058
374	632	1054
375	633	1050
376	633	1046
377	633	1042
378	634	1038
379	634	1035
380	706	1148
381	707	1144
382	707	1140
383	708	1136
384	708	1132
385	709	1128
386	709	1124
387	710	1120
388	710	1115
389	710	1111
390	711	1107
391	711	1103
392	712	1099
393	712	1095
394	712	1091
395	713	1088
396	714	1084
397	714	1080
398	715	1077
399	715	1073
400	716	1069
401	716	1065
402	717	1062
403	717	1058
404	718	1055
405	718	1051
406	719	1047
407	719	1043
408	719	1040
409	720	1036
410	721	1033
411	721	1029
412	722	1026
413	722	1022
414	722	1019
415	723	1015
416	723	1012
417	724	1008
418	724	1005
419	725	1001
420	725	998
421	726	994
422	726	991
423	727	988
424	727	984
425	728	981
426	728	977
427	729	974
428	729	971
429	729	967
430	730	964
431	730	960
432	731	957
433	731	954
434	732	951
435	732	948
436	733	944
437	733	941
438	734	938
439	734	934
440	735	931
441	735	928
442	736	925
443	736	922
444	737	919
445	737	916
446	738	913
447	738	909
448	738	906
449	739	903
450	739	900
451	740	897
452	740	894
453	741	891
454	741	888
455	742	885
456	742	882
457	743	879
458	743	876
459	744	873
460	744	870
461	744	867
462	745	864
463	745	861
464	746	858
465	746	855
466	747	852
467	747	849
468	748	846
469	748	843
470	748	840
471	749	837
472	749	835
473	749	832
474	750	829
475	750	826
476	750	823
477	823	899
478	823	896
479	824	893
480	824	890
481	825	887
482	825	884
483	826	880
484	826	877
485	827	874
486	827	871
487	827	868
488	828	865
489	828	862
490	829	859
491	829	856
492	829	853
493	830	850
494	830	847
495	831	844
496	831	841
497	831	838
498	832	835
499	832	832
500	833	829
501	833	826
502	833	824
503	834	821
504	834	818
505	835	815
506	835	812
507	835	809
508	836	806
509	836	803
510	837	800
511	837	798
512	837	795
513	838	792
514	838	789
515	839	787
516	839	784
517	839	781
518	840	778
519	840	776
520	841	773
521	841	770
522	841	767
523	842	765
524	842	762
525	842	759
526	843	756
527	843	754
528	843	751
529	844	748
530	844	745
531	844	743
532	845	740
533	845	737
534	845	735
535	845	732
536	846	729
537	846	727
538	846	724
539	919	783
540	919	780
541	920	777
542	920	774
543	921	772
544	921	769
545	921	766
546	922	763
547	922	761
548	923	758
549	923	755
550	924	752
551	924	750
552	924	747
553	925	744
554	925	742
555	926	739
556	926	736
557	926	734
558	927	731
559	927	728
560	928	726
561	928	723
562	928	721
563	929	718
564	929	715
565	930	713
566	930	710
567	930	708
568	931	705
569	931	702
570	932	700
571	932	697
572	932	695
573	933	692
574	933	690
575	934	687
576	934	685
577	935	682
578	935	680
579	935	677
580	936	675
581	936	672
582	1016	726
583	1016	724
584	1017	721
585	1018	719
586	1018	716
587	1019	714
588	1019	711
589	1020	708
590	1020	706
591	1020	703
592	1021	700
593	1021	698
594	1022	695
595	1022	693
596	1022	690
597	1023	687
598	1023	685
599	1024	682
600	1024	680
601	1025	677
602	1025	675
603	1026	672
604	1026	670
605	1026	667
606	1027	665
607	1027	662
608	1028	660
609	1028	657
610	1029	655
611	1029	652
612	1029	650
613	1030	647
614	1030	645
615	1031	642
616	1031	640
617	1032	637
618	1032	635
619	1032	633
620	1033	630
621	1034	628
622	1034	626
623	1035	623
624	1035	621
625	1035	618
626	1036	616
627	1036	614
628	1037	611
629	1037	609
630	1038	607
631	1038	604
632	1038	602
633	1039	599
634	1111	638
635	1112	636
636	1112	633
637	1112	631
638	1113	629
639	1113	626
640	1114	624
641	1114	621
642	1115	619
643	1115	616
644	1115	614
645	1116	611
646	1116	609
647	1117	606
648	1117	604
649	1117	601
650	1118	599
651	1118	597
652	1119	594
653	1119	592
654	1120	589
655	1120	587
656	1121	585
657	1121	582
658	1121	580
659	1122	578
660	1122	575
661	1123	573
662	1123	571
663	1123	568
664	1124	566
665	1124	563
666	1125	561
667	1125	559
668	1125	557
669	1126	554
670	1126	552
671	1127	550
672	1127	547
673	1128	545
674	1128	543
675	1128	541
676	1129	538
677	1129	536
678	1130	534
679	1130	532
680	1130	529
681	1131	527
682	1208	560
683	1208	558
684	1209	556
685	1209	553
686	1210	551
687	1210	548
688	1210	546
689	1211	544
690	1211	541
691	1212	539
692	1212	537
693	1212	534
694	1213	532
695	1213	530
696	1214	527
697	1214	525
698	1215	523
699	1215	520
700	1215	518
701	1216	516
702	1216	514
703	1217	511
704	1217	509
705	1217	507
706	1218	504
707	1218	502
708	1219	500
709	1219	498
710	1219	495
711	1220	493
712	1220	491
713	1221	489
714	1221	486
715	1221	484
716	1222	482
717	1222	480
718	1223	478
719	1223	475
720	1224	473
721	1224	471
722	1224	469
723	1225	467
724	1225	464
725	1226	462
726	1226	460
727	1226	458
728	1227	456
729	1227	454
730	1228	451
731	1228	449
732	1228	447
733	1229	445
734	1229	443
735	1229	441
736	1230	438
737	1230	436
738	1230	434
739	1231	432
740	1231	430
741	1231	428
742	1232	426
743	1304	448
744	1305	446
745	1305	444
746	1305	442
747	1306	440
748	1306	437
749	1307	435
750	1307	433
751	1308	431
752	1308	429
753	1309	427
754	1309	424
755	1309	422
756	1310	420
757	1310	418
758	1311	416
759	1311	414
760	1312	412
761	1312	409
762	1312	407
763	1313	405
764	1313	403
765	1314	401
766	1314	399
767	1315	397
768	1315	395
769	1316	393
770	1316	391
771	1317	388
772	1317	386
773	1317	384
774	1318	382
775	1318	380
776	1319	378
777	1319	376
778	1320	374
779	1320	372
780	1321	370
781	1321	368
782	1322	366
783	1322	364
784	1322	362
785	1323	360
786	1323	358
787	1324	356
788	1324	354
789	1324	352
790	1325	350
791	1325	348
792	1326	346
793	1326	344
794	1326	342
795	1326	340
796	1327	338
797	1327	336
798	1327	334
799	1328	332
800	1328	330
801	1401	345
802	1401	343
803	1402	341
804	1402	339
805	1403	337
806	1403	335
807	1403	333
808	1404	331
809	1404	329
810	1405	327
811	1405	325
812	1405	323
813	1406	321
814	1406	319
815	1407	317
816	1407	315
817	1408	313
818	1408	311
819	1408	309
820	1409	307
821	1409	305
822	1410	303
823	1410	301
824	1411	299
825	1411	297
826	1411	295
827	1412	293
828	1412	291
829	1413	289
830	1413	287
831	1413	285
832	1414	283
833	1414	281
834	1415	279
835	1415	277
836	1415	275
837	1416	273
838	1416	271
839	1416	269
840	1417	267
841	1417	266
842	1418	264
843	1418	262
844	1418	260
845	1419	258
846	1419	256
847	1420	254
848	1420	252
849	1420	250
850	1421	248
851	1421	246
852	1421	245
853	1422	243
854	1422	241
855	1422	239
856	1422	237
857	1423	235
858	1423	233
859	1423	231
860	1424	229
861	1424	228
862	1497	237
863	1497	235
864	1497	233
865	1498	231
866	1498	229
867	1499	227
868	1499	226
869	1500	224
870	1500	222
871	1500	220
872	1501	218
873	1501	216
874	1502	214
875	1502	212
876	1503	210
877	1503	208
878	1503	207
879	1504	205
880	1504	203
881	1505	201
882	1505	199
883	1505	197
884	1506	195
885	1506	193
886	1507	191
887	1507	190
888	1507	188
889	1508	186
890	1508	184
891	1509	182
892	1509	180
893	1510	179
894	1510	177
895	1510	175
896	1511	173
897	1511	171
898	1512	169
899	1512	168
900	1512	166
901	1513	164
902	1513	162
903	1514	160
904	1514	158
905	1514	157
906	1515	155
907	1515	153
908	1515	151
909	1516	149
910	1516	148
911	1517	146
912	1593	151
913	1594	150
914	1595	148
915	1595	146
916	1595	144
917	1596	142
918	1596	140
919	1597	138
920	1597	137
921	1598	135
922	1598	133
923	1599	131
924	1599	129
925	1599	127
926	1600	126
927	1600	124
928	1601	122
929	1601	120
930	1602	118
931	1602	116
932	1603	115
933	1603	113
934	1603	111
935	1604	109
936	1604	107
937	1605	106
938	1605	104
939	1606	102
940	1606	100
941	1606	98
942	1607	97
943	1607	95
944	1608	93
945	1608	91
946	1609	90
947	1609	88
948	1610	86
949	1610	84
950	1611	83
951	1611	81
952	1612	79
953	1612	77
954	1612	75
955	1613	74
956	1613	72
957	1614	70
958	1614	69
959	1614	67
960	1615	65
961	1615	63
962	1615	62
963	1616	60
964	1616	58
965	1616	56
966	1617	55
967	1617	53
968	1617	51
969	1618	50
970	1691	50
971	1691	48
972	1692	46
973	1692	45
974	1693	43
975	1693	41
976	1694	39
977	1694	38
978	1695	36
979	1695	34
980	1695	32
981	1696	31
982	1696	29
983	1697	27
984	1697	25
985	1698	24
986	1698	22
987	1699	20
988	1699	18
989	1700	17
990	1700	15
991	1701	13
992	1701	11
993	1702	10
994	1702	8
995	1702	6
996	1703	5
997	1703	3
998	1704	1
999	1704	0
